   MQ-3 (Alcohol Sensor)(mg/L), MQ-4 (Methane Sensor)(ppm), MQ-7 (CO Sensor)(ppm), MQ-8 (Hydrogen Sensor)(ppm), MQ-9 (CO Sensor)(ppm), MQ-135 (Air Quality Sensor)(ppm), Timestamp
33.69,306.64,209.96,198.24,199.22,162.11,1:37:01
33.69,307.62,209.96,199.22,199.22,162.11,1:37:05
33.79,307.62,210.94,199.22,199.22,162.11,1:37:09
33.69,307.62,209.96,199.22,199.22,162.11,1:37:14
33.69,307.62,209.96,199.22,199.22,162.11,1:37:18
33.69,307.62,209.96,199.22,199.22,162.11,1:37:22
33.59,307.62,209.96,199.22,199.22,162.11,1:37:26
33.69,308.59,209.96,200.2,200.2,163.09,1:37:30
33.69,308.59,209.96,199.22,199.22,162.11,1:37:34
33.69,309.57,209.96,200.2,200.2,162.11,1:37:38
33.69,309.57,209.96,200.2,200.2,163.09,1:37:42
33.69,309.57,209.96,200.2,200.2,163.09,1:37:46
33.59,309.57,209.96,200.2,200.2,163.09,1:37:50
33.69,309.57,209.96,200.2,200.2,163.09,1:37:54
33.69,310.55,209.96,200.2,200.2,163.09,1:37:58
33.69,310.55,210.94,201.17,201.17,163.09,1:38:02
33.79,311.52,210.94,201.17,201.17,164.06,1:38:06
33.79,311.52,210.94,202.15,202.15,164.06,1:38:10
33.69,310.55,210.94,201.17,201.17,164.06,1:38:14
33.69,310.55,210.94,201.17,201.17,163.09,1:38:18
33.59,309.57,209.96,201.17,201.17,163.09,1:38:22
33.59,310.55,209.96,201.17,201.17,163.09,1:38:27
33.59,310.55,209.96,201.17,200.2,163.09,1:38:31
33.59,310.55,209.96,201.17,200.2,163.09,1:38:35
33.59,309.57,209.96,201.17,200.2,163.09,1:38:39
33.5,309.57,209.96,200.2,200.2,163.09,1:38:43
33.5,309.57,209.96,201.17,200.2,163.09,1:38:47
33.5,309.57,209.96,201.17,200.2,163.09,1:38:51
33.5,309.57,209.96,201.17,200.2,163.09,1:38:55
33.59,310.55,210.94,202.15,201.17,164.06,1:38:59
33.59,311.52,210.94,202.15,201.17,164.06,1:39:03
33.59,311.52,210.94,202.15,201.17,164.06,1:39:07
33.59,311.52,210.94,202.15,201.17,164.06,1:39:11
33.59,311.52,210.94,202.15,201.17,164.06,1:39:15
33.59,311.52,210.94,202.15,201.17,164.06,1:39:19
33.5,311.52,210.94,202.15,201.17,164.06,1:39:23
33.5,311.52,210.94,202.15,201.17,164.06,1:39:27
33.5,311.52,210.94,202.15,201.17,164.06,1:39:31
33.5,311.52,210.94,202.15,201.17,164.06,1:39:36
33.5,311.52,210.94,202.15,201.17,164.06,1:39:40
33.5,312.5,209.96,202.15,201.17,164.06,1:39:44
33.5,312.5,210.94,202.15,202.15,164.06,1:39:48
33.5,312.5,210.94,203.13,202.15,164.06,1:39:52
33.5,311.52,210.94,202.15,202.15,164.06,1:39:56
33.5,312.5,210.94,202.15,202.15,164.06,1:40:00
33.5,312.5,210.94,203.13,202.15,164.06,1:40:04
33.59,312.5,210.94,203.13,202.15,164.06,1:40:08
33.5,311.52,210.94,203.13,202.15,164.06,1:40:12
33.5,311.52,210.94,203.13,202.15,165.04,1:40:16
33.5,311.52,210.94,202.15,202.15,164.06,1:40:20
33.5,311.52,210.94,202.15,202.15,164.06,1:40:24
33.5,310.55,210.94,202.15,202.15,164.06,1:40:28
33.4,309.57,210.94,202.15,201.17,164.06,1:40:32
33.4,309.57,210.94,202.15,201.17,164.06,1:40:36
33.3,309.57,209.96,201.17,201.17,164.06,1:40:40
33.3,308.59,209.96,201.17,200.2,164.06,1:40:44
33.4,310.55,210.94,202.15,201.17,164.06,1:40:49
33.2,308.59,209.96,201.17,200.2,164.06,1:40:53
33.11,308.59,208.98,200.2,200.2,163.09,1:40:57
33.11,308.59,208.98,201.17,200.2,163.09,1:41:01
33.11,308.59,208.98,201.17,200.2,163.09,1:41:05
33.2,308.59,208.98,201.17,200.2,163.09,1:41:09
33.2,309.57,209.96,201.17,201.17,164.06,1:41:13
33.2,309.57,209.96,201.17,200.2,163.09,1:41:17
33.2,310.55,209.96,201.17,201.17,164.06,1:41:21
33.2,310.55,209.96,202.15,201.17,164.06,1:41:25
33.3,310.55,210.94,202.15,202.15,164.06,1:41:29
33.4,311.52,210.94,203.13,202.15,165.04,1:41:33
33.3,311.52,210.94,203.13,202.15,165.04,1:41:37
33.3,311.52,210.94,203.13,202.15,165.04,1:41:41
33.4,311.52,210.94,203.13,203.13,165.04,1:41:45
33.3,310.55,210.94,203.13,202.15,165.04,1:41:49
32.81,305.66,208.01,199.22,199.22,162.11,1:41:53
31.74,294.92,201.17,192.38,192.38,157.23,1:41:57
33.5,312.5,211.91,203.13,203.13,165.04,1:42:02
33.59,313.48,211.91,204.1,204.1,166.02,1:42:06
33.69,315.43,212.89,205.08,205.08,166.99,1:42:10
33.89,317.38,214.84,207.03,206.05,167.97,1:42:14
33.89,317.38,214.84,207.03,207.03,168.95,1:42:18
33.89,317.38,215.82,207.03,206.05,168.95,1:42:22
33.89,317.38,214.84,207.03,207.03,167.97,1:42:26
33.98,318.36,214.84,208.01,207.03,168.95,1:42:30
33.98,317.38,214.84,208.01,207.03,168.95,1:42:34
33.98,317.38,214.84,208.01,207.03,168.95,1:42:38
33.89,316.41,213.87,207.03,206.05,167.97,1:42:42
33.98,317.38,215.82,208.01,207.03,169.92,1:42:46
34.08,318.36,216.8,208.98,208.01,169.92,1:42:50
33.98,317.38,215.82,208.98,208.01,169.92,1:42:54
34.08,317.38,215.82,208.98,207.03,169.92,1:42:58
34.08,318.36,216.8,208.98,208.01,169.92,1:43:02
34.08,318.36,216.8,208.98,208.01,169.92,1:43:06
34.18,318.36,216.8,208.98,208.01,169.92,1:43:11
34.18,318.36,216.8,208.98,208.01,169.92,1:43:15
34.18,319.34,216.8,208.98,208.01,170.9,1:43:19
34.18,319.34,216.8,209.96,208.98,170.9,1:43:23
34.18,319.34,217.77,209.96,208.98,170.9,1:43:27
34.18,319.34,217.77,209.96,208.98,170.9,1:43:31
34.18,319.34,217.77,209.96,208.98,170.9,1:43:35
34.18,319.34,217.77,209.96,208.01,170.9,1:43:39
34.18,319.34,216.8,208.98,208.01,170.9,1:43:43
34.18,319.34,217.77,209.96,208.01,170.9,1:43:47
34.28,320.31,217.77,209.96,208.98,171.88,1:43:51
34.18,319.34,217.77,209.96,208.98,170.9,1:43:55
34.18,319.34,216.8,208.98,208.01,170.9,1:43:59
34.18,319.34,217.77,209.96,208.98,170.9,1:44:03
34.28,319.34,218.75,209.96,208.98,171.88,1:44:07
34.28,320.31,218.75,210.94,209.96,171.88,1:44:11
34.28,320.31,218.75,209.96,208.98,171.88,1:44:15
34.28,320.31,218.75,210.94,208.98,171.88,1:44:19
34.18,320.31,217.77,209.96,208.98,171.88,1:44:24
34.18,320.31,217.77,209.96,208.98,171.88,1:44:28
34.18,320.31,217.77,209.96,208.98,171.88,1:44:32
34.28,321.29,218.75,210.94,209.96,171.88,1:44:36
34.28,320.31,218.75,209.96,208.98,171.88,1:44:40
34.28,321.29,217.77,209.96,208.98,171.88,1:44:44
34.38,321.29,219.73,210.94,209.96,172.85,1:44:48
34.38,321.29,219.73,210.94,209.96,172.85,1:44:52
34.28,320.31,218.75,210.94,209.96,171.88,1:44:56
34.38,321.29,219.73,211.91,210.94,172.85,1:45:00
34.38,321.29,218.75,210.94,209.96,172.85,1:45:04
34.38,321.29,218.75,210.94,209.96,172.85,1:45:08
34.38,321.29,219.73,210.94,209.96,172.85,1:45:12
34.38,321.29,218.75,210.94,210.94,172.85,1:45:16
34.38,321.29,218.75,210.94,209.96,172.85,1:45:20
34.38,322.27,219.73,211.91,210.94,172.85,1:45:24
34.38,322.27,219.73,211.91,210.94,172.85,1:45:28
34.38,322.27,219.73,211.91,210.94,173.83,1:45:33
34.38,322.27,219.73,211.91,210.94,172.85,1:45:37
34.47,323.24,219.73,211.91,210.94,173.83,1:45:41
34.38,322.27,219.73,211.91,210.94,172.85,1:45:45
34.38,322.27,219.73,211.91,209.96,172.85,1:45:49
34.38,322.27,219.73,211.91,210.94,172.85,1:45:53
34.38,322.27,219.73,211.91,210.94,172.85,1:45:57
34.47,323.24,221.68,213.87,211.91,174.8,1:46:01
34.38,323.24,220.7,212.89,210.94,173.83,1:46:05
34.47,324.22,220.7,212.89,211.91,174.8,1:46:09
34.96,328.13,226.56,218.75,217.77,180.66,1:46:13
34.86,328.13,226.56,218.75,217.77,180.66,1:46:17
34.67,326.17,224.61,216.8,215.82,178.71,1:46:21
34.86,328.13,226.56,218.75,217.77,180.66,1:46:25
34.96,329.1,228.52,219.73,218.75,182.62,1:46:29
35.25,332.03,232.42,223.63,222.66,186.52,1:46:33
35.45,333.98,234.38,225.59,225.59,189.45,1:46:37
35.55,335.94,235.35,227.54,226.56,191.41,1:46:41
35.64,336.91,237.3,229.49,228.52,192.38,1:46:46
36.23,342.77,244.14,236.33,235.35,200.2,1:46:50
34.38,324.22,222.66,213.87,213.87,177.73,1:46:54
37.3,355.47,258.79,250,249.02,214.84,1:46:58
36.82,350.59,253.91,245.12,245.12,210.94,1:47:02
37.11,353.52,256.84,248.05,248.05,213.87,1:47:06
36.82,350.59,253.91,245.12,245.12,210.94,1:47:10
36.72,350.59,252.93,244.14,244.14,209.96,1:47:14
36.62,350.59,252.93,244.14,244.14,209.96,1:47:18
33.98,323.24,220.7,211.91,211.91,176.76,1:47:22
33.69,322.27,216.8,208.98,208.01,171.88,1:47:26
33.59,321.29,214.84,208.01,207.03,168.95,1:47:30
33.59,323.24,215.82,208.98,208.01,169.92,1:47:34
34.67,332.03,227.54,220.7,219.73,181.64,1:47:38
36.13,344.73,245.12,239.26,238.28,202.15,1:47:42
36.82,353.52,255.86,249.02,248.05,212.89,1:47:46
37.21,356.45,260.74,252.93,252.93,218.75,1:47:50
37.21,356.45,258.79,251.95,251.95,216.8,1:47:55
36.13,346.68,248.05,240.23,240.23,205.08,1:47:59
36.52,351.56,252.93,245.12,245.12,209.96,1:48:03
36.13,347.66,249.02,241.21,241.21,206.05,1:48:07
36.82,354.49,256.84,249.02,249.02,213.87,1:48:11
36.72,354.49,255.86,248.05,248.05,213.87,1:48:15
33.4,319.34,215.82,209.96,208.98,172.85,1:48:19
33.79,326.17,220.7,213.87,213.87,175.78,1:48:23
34.18,329.1,225.59,218.75,217.77,180.66,1:48:27
34.18,330.08,225.59,218.75,218.75,180.66,1:48:31
34.18,330.08,225.59,219.73,218.75,180.66,1:48:35
34.77,335.94,232.42,225.59,225.59,187.5,1:48:39
35.64,344.73,243.16,237.3,236.33,199.22,1:48:43
36.52,353.52,253.91,248.05,247.07,210.94,1:48:47
35.74,344.73,244.14,238.28,237.3,201.17,1:48:51
37.3,360.35,262.7,256.84,255.86,220.7,1:48:55
36.52,353.52,254.88,248.05,248.05,212.89,1:48:59
34.28,332.03,229.49,222.66,221.68,186.52,1:49:03
37.6,365.23,267.58,261.72,259.77,225.59,1:49:08
36.52,354.49,254.88,249.02,249.02,213.87,1:49:12
36.23,352.54,252.93,246.09,246.09,210.94,1:49:16
35.35,344.73,243.16,236.33,236.33,200.2,1:49:20
35.74,348.63,247.07,241.21,241.21,205.08,1:49:24
35.64,347.66,245.12,239.26,239.26,203.13,1:49:28
35.74,349.61,247.07,241.21,241.21,204.1,1:49:32
35.35,345.7,242.19,236.33,236.33,199.22,1:49:36
35.16,344.73,240.23,235.35,234.38,197.27,1:49:40
37.21,364.26,264.65,259.77,259.77,222.66,1:49:44
36.43,357.42,256.84,251.95,250.98,214.84,1:49:48
36.13,353.52,252.93,247.07,247.07,210.94,1:49:52
36.33,356.45,255.86,250,250,213.87,1:49:56
35.74,350.59,248.05,243.16,243.16,206.05,1:50:00
36.13,355.47,253.91,249.02,248.05,211.91,1:50:04
36.33,357.42,255.86,250.98,250,213.87,1:50:08
35.45,348.63,245.12,240.23,239.26,202.15,1:50:12
35.64,351.56,247.07,243.16,243.16,205.08,1:50:16
35.64,350.59,247.07,243.16,242.19,205.08,1:50:21
35.84,353.52,250,246.09,245.12,208.01,1:50:25
35.74,352.54,250,245.12,244.14,207.03,1:50:29
35.74,352.54,249.02,245.12,244.14,207.03,1:50:33
35.06,345.7,241.21,237.3,237.3,199.22,1:50:37
35.25,347.66,243.16,239.26,238.28,201.17,1:50:41
35.25,347.66,243.16,240.23,239.26,201.17,1:50:45
35.25,347.66,243.16,240.23,238.28,200.2,1:50:49
35.16,346.68,241.21,238.28,236.33,198.24,1:50:53
35.16,345.7,240.23,237.3,235.35,196.29,1:50:57
35.06,345.7,240.23,237.3,236.33,197.27,1:51:01
35.06,345.7,239.26,237.3,235.35,196.29,1:51:05
35.06,345.7,240.23,237.3,236.33,196.29,1:51:09
34.96,344.73,238.28,236.33,235.35,195.31,1:51:13
35.16,346.68,241.21,239.26,237.3,197.27,1:51:17
34.77,343.75,236.33,235.35,233.4,192.38,1:51:21
34.57,340.82,234.38,233.4,230.47,190.43,1:51:25
34.86,344.73,237.3,236.33,234.38,194.34,1:51:30
34.77,342.77,235.35,234.38,232.42,192.38,1:51:34
34.77,342.77,236.33,235.35,232.42,193.36,1:51:38
34.96,343.75,237.3,236.33,234.38,194.34,1:51:42
34.57,340.82,233.4,232.42,229.49,190.43,1:51:46
34.57,340.82,234.38,232.42,230.47,190.43,1:51:50
34.77,340.82,235.35,233.4,231.45,191.41,1:51:54
34.86,341.8,236.33,235.35,233.4,193.36,1:51:58
34.67,339.84,234.38,232.42,230.47,191.41,1:52:02
34.67,340.82,234.38,233.4,231.45,191.41,1:52:06
34.77,340.82,235.35,233.4,231.45,191.41,1:52:10
34.77,340.82,235.35,233.4,231.45,192.38,1:52:14
34.86,341.8,236.33,235.35,232.42,193.36,1:52:18
35.06,342.77,238.28,236.33,234.38,194.34,1:52:22
35.25,344.73,241.21,239.26,236.33,198.24,1:52:26
35.25,344.73,241.21,238.28,236.33,198.24,1:52:30
35.16,343.75,240.23,237.3,235.35,197.27,1:52:34
35.25,344.73,241.21,238.28,236.33,198.24,1:52:38
35.45,346.68,243.16,240.23,238.28,200.2,1:52:43
35.55,347.66,244.14,242.19,239.26,201.17,1:52:47
35.84,351.56,249.02,246.09,244.14,206.05,1:52:51
35.84,350.59,248.05,245.12,243.16,205.08,1:52:55
36.04,352.54,250.98,248.05,246.09,208.01,1:52:59
35.74,350.59,248.05,244.14,243.16,206.05,1:53:03
35.64,349.61,247.07,243.16,242.19,204.1,1:53:07
35.94,352.54,250.98,247.07,246.09,208.98,1:53:11
35.64,349.61,247.07,244.14,242.19,205.08,1:53:15
36.52,352.54,251.95,249.02,247.07,209.96,1:53:19
35.94,352.54,250.98,248.05,246.09,208.98,1:53:23
35.84,351.56,250,247.07,245.12,208.01,1:53:27
36.13,355.47,253.91,250,249.02,211.91,1:53:31
36.43,358.4,257.81,254.88,252.93,216.8,1:53:35
34.67,340.82,237.3,233.4,232.42,195.31,1:53:39
34.86,342.77,238.28,235.35,234.38,196.29,1:53:43
34.67,341.8,236.33,233.4,232.42,194.34,1:53:47
34.57,340.82,235.35,232.42,231.45,193.36,1:53:52
34.86,343.75,238.28,236.33,234.38,196.29,1:53:56
35.45,349.61,245.12,243.16,241.21,203.13,1:54:00
35.45,348.63,245.12,243.16,241.21,203.13,1:54:04
35.74,352.54,250,247.07,246.09,207.03,1:54:08
35.74,351.56,249.02,246.09,245.12,207.03,1:54:12
36.91,366.21,262.7,259.77,258.79,221.68,1:54:16
35.94,354.49,252.93,250,249.02,210.94,1:54:20
35.74,352.54,250,247.07,246.09,208.01,1:54:24
35.45,349.61,246.09,243.16,241.21,204.1,1:54:28
35.35,348.63,245.12,242.19,241.21,204.1,1:54:32
35.25,347.66,244.14,241.21,240.23,202.15,1:54:36
35.25,348.63,244.14,242.19,240.23,202.15,1:54:40
35.55,351.56,248.05,245.12,244.14,206.05,1:54:44
35.25,348.63,244.14,242.19,241.21,202.15,1:54:48
34.86,344.73,240.23,237.3,236.33,198.24,1:54:52
35.25,348.63,245.12,242.19,241.21,202.15,1:54:56
35.45,350.59,247.07,244.14,242.19,203.13,1:55:00
36.62,362.3,260.74,258.79,256.84,218.75,1:55:05
35.64,352.54,250,247.07,245.12,207.03,1:55:09
35.74,353.52,250,248.05,247.07,208.01,1:55:13
36.04,356.45,253.91,251.95,250.98,213.87,1:55:17
35.25,349.61,245.12,242.19,241.21,203.13,1:55:21
36.13,358.4,255.86,253.91,252.93,214.84,1:55:25
35.94,351.56,248.05,245.12,242.19,204.1,1:55:29
35.16,349.61,245.12,242.19,241.21,203.13,1:55:33
35.84,355.47,251.95,249.02,248.05,209.96,1:55:37
36.04,357.42,254.88,251.95,250.98,213.87,1:55:41
36.04,358.4,254.88,252.93,250.98,212.89,1:55:45
35.94,358.4,253.91,251.95,250.98,212.89,1:55:49
35.35,351.56,248.05,245.12,244.14,206.05,1:55:53
35.74,354.49,250.98,249.02,248.05,209.96,1:55:57
35.64,354.49,250.98,248.05,244.14,207.03,1:56:01
35.06,348.63,243.16,241.21,240.23,202.15,1:56:05
35.84,357.42,252.93,250.98,250,211.91,1:56:09
33.69,335.94,227.54,226.56,224.61,185.55,1:56:13
35.64,354.49,250,248.05,247.07,208.98,1:56:18
36.04,359.38,254.88,252.93,251.95,213.87,1:56:22
32.71,326.17,215.82,214.84,212.89,171.88,1:56:26
32.81,327.15,215.82,214.84,212.89,171.88,1:56:30
32.91,328.13,215.82,215.82,213.87,171.88,1:56:34
33.01,329.1,216.8,216.8,214.84,171.88,1:56:38
33.11,328.13,216.8,217.77,214.84,172.85,1:56:42
32.91,325.2,213.87,214.84,211.91,168.95,1:56:46
33.2,327.15,216.8,216.8,213.87,171.88,1:56:50
33.11,325.2,215.82,215.82,212.89,169.92,1:56:54
33.2,325.2,215.82,215.82,212.89,170.9,1:56:58
33.01,322.27,212.89,212.89,209.96,167.97,1:57:02
33.2,323.24,214.84,214.84,210.94,169.92,1:57:06
33.11,321.29,213.87,212.89,209.96,168.95,1:57:10
33.11,319.34,211.91,210.94,208.01,166.02,1:57:14
33.01,318.36,210.94,208.98,206.05,165.04,1:57:18
33.01,317.38,210.94,208.98,206.05,164.06,1:57:22
33.01,317.38,209.96,208.01,205.08,164.06,1:57:27
33.11,317.38,209.96,208.01,205.08,164.06,1:57:31
33.01,315.43,208.98,206.05,203.13,162.11,1:57:35
33.01,315.43,208.01,205.08,203.13,162.11,1:57:39
33.01,314.45,208.01,204.1,202.15,161.13,1:57:43
33.01,313.48,207.03,204.1,201.17,161.13,1:57:47
33.01,313.48,207.03,203.13,201.17,160.16,1:57:51
33.01,312.5,207.03,202.15,200.2,160.16,1:57:55
33.01,312.5,207.03,202.15,200.2,160.16,1:57:59
33.11,311.52,206.05,201.17,199.22,160.16,1:58:03
33.11,311.52,206.05,201.17,199.22,159.18,1:58:07
33.11,310.55,206.05,200.2,198.24,159.18,1:58:11
33.2,310.55,206.05,200.2,198.24,159.18,1:58:15
33.2,310.55,206.05,199.22,198.24,159.18,1:58:19
33.2,309.57,206.05,199.22,197.27,159.18,1:58:23
33.2,308.59,206.05,198.24,197.27,158.2,1:58:27
33.2,307.62,205.08,198.24,196.29,158.2,1:58:31
33.2,307.62,205.08,197.27,196.29,158.2,1:58:35
33.2,307.62,205.08,197.27,195.31,158.2,1:58:40
33.2,307.62,205.08,196.29,195.31,157.23,1:58:44
33.2,307.62,205.08,196.29,195.31,157.23,1:58:48
33.3,307.62,205.08,196.29,195.31,157.23,1:58:52
33.3,307.62,205.08,196.29,195.31,157.23,1:58:56
33.3,307.62,205.08,196.29,195.31,157.23,1:59:00
33.3,307.62,205.08,195.31,194.34,157.23,1:59:04
33.4,307.62,205.08,195.31,194.34,157.23,1:59:08
33.4,307.62,205.08,195.31,194.34,157.23,1:59:12
33.4,307.62,205.08,195.31,194.34,157.23,1:59:16
33.4,307.62,205.08,194.34,194.34,157.23,1:59:20
33.4,306.64,205.08,194.34,193.36,156.25,1:59:24
33.4,306.64,205.08,194.34,193.36,156.25,1:59:28
33.4,306.64,205.08,194.34,193.36,156.25,1:59:32
33.4,305.66,204.1,193.36,192.38,156.25,1:59:36
33.4,305.66,204.1,193.36,192.38,156.25,1:59:40
33.5,304.69,204.1,192.38,192.38,156.25,1:59:44
33.4,303.71,204.1,192.38,191.41,155.27,1:59:49
33.4,302.73,203.13,191.41,191.41,155.27,1:59:53
33.4,302.73,203.13,191.41,190.43,155.27,1:59:57
33.4,302.73,203.13,191.41,190.43,155.27,2:00:01
33.4,302.73,203.13,190.43,190.43,155.27,2:00:05
33.4,302.73,203.13,190.43,190.43,155.27,2:00:09
33.4,301.76,203.13,190.43,190.43,155.27,2:00:13
33.5,302.73,203.13,190.43,190.43,155.27,2:00:17
33.5,302.73,203.13,189.45,190.43,155.27,2:00:21
33.5,302.73,203.13,189.45,190.43,155.27,2:00:25
33.5,302.73,204.1,190.43,190.43,156.25,2:00:29
33.59,302.73,204.1,190.43,190.43,156.25,2:00:33
33.59,302.73,204.1,190.43,190.43,156.25,2:00:37
33.59,302.73,204.1,190.43,190.43,156.25,2:00:41
33.59,302.73,204.1,190.43,190.43,156.25,2:00:45
33.5,302.73,204.1,189.45,190.43,155.27,2:00:49
33.5,301.76,203.13,189.45,189.45,155.27,2:00:53
33.4,300.78,203.13,188.48,188.48,154.3,2:00:57
33.5,301.76,203.13,189.45,286.83,155.27,2:01:02
33.5,300.78,203.13,188.48,322.09,155.27,2:01:06
33.5,300.78,203.13,188.48,405.16,155.27,2:01:10
33.5,300.78,203.13,188.48,278.57,155.27,2:01:14
33.5,300.78,203.13,188.48,383.82,155.27,2:01:18
33.5,300.78,203.13,188.48,293.62,155.27,2:01:22
33.5,300.78,203.13,188.48,409.13,155.27,2:01:26
33.5,300.78,203.13,188.48,302.45,155.27,2:01:30
33.5,300.78,203.13,187.5,371.32,155.27,2:01:34
33.4,299.8,202.15,187.5,280.97,154.3,2:01:38
33.4,299.8,203.13,187.5,379.37,155.27,2:01:42
33.4,299.8,202.15,187.5,332.13,154.3,2:01:46
33.3,298.83,202.15,186.52,414.26,154.3,2:01:50
33.2,297.85,201.17,185.55,300.75,154.3,2:01:54
33.2,297.85,201.17,185.55,377.68,154.3,2:01:58
33.3,298.83,201.17,186.52,296.92,154.3,2:02:02
33.3,298.83,202.15,186.52,391.47,154.3,2:02:06
33.3,298.83,202.15,186.52,186.52,154.3,2:02:10
33.3,299.8,202.15,186.52,187.5,154.3,2:02:15
33.3,298.83,201.17,185.55,186.52,153.32,2:02:19
33.4,299.8,201.17,186.52,186.52,154.3,2:02:23
33.3,299.8,202.15,186.52,186.52,154.3,2:02:27
33.3,299.8,201.17,186.52,186.52,154.3,2:02:31
33.4,299.8,202.15,186.52,187.5,154.3,2:02:35
33.3,299.8,202.15,186.52,186.52,154.3,2:02:39
33.3,299.8,201.17,185.55,186.52,153.32,2:02:43
33.3,299.8,201.17,185.55,186.52,153.32,2:02:47
33.3,299.8,201.17,185.55,186.52,154.3,2:02:51
33.3,299.8,201.17,186.52,186.52,153.32,2:02:55
33.3,299.8,201.17,185.55,186.52,153.32,2:02:59
33.3,299.8,201.17,185.55,186.52,153.32,2:03:03
33.2,298.83,201.17,185.55,185.55,153.32,2:03:07
33.3,299.8,201.17,185.55,185.55,153.32,2:03:11
33.3,299.8,201.17,185.55,185.55,153.32,2:03:15
33.3,299.8,201.17,185.55,185.55,153.32,2:03:19
33.3,299.8,201.17,185.55,185.55,153.32,2:03:24
33.3,299.8,201.17,185.55,185.55,153.32,2:03:28
33.3,298.83,200.2,185.55,185.55,153.32,2:03:32
33.2,298.83,200.2,184.57,185.55,153.32,2:03:36
33.3,298.83,200.2,184.57,185.55,152.34,2:03:40
33.3,298.83,200.2,184.57,184.57,152.34,2:03:44
33.2,298.83,200.2,184.57,184.57,152.34,2:03:48
33.3,298.83,200.2,184.57,185.55,152.34,2:03:52
33.3,298.83,200.2,184.57,184.57,152.34,2:03:56
33.3,298.83,200.2,184.57,184.57,153.32,2:04:00
33.3,297.85,200.2,184.57,184.57,152.34,2:04:04
33.3,297.85,200.2,184.57,184.57,152.34,2:04:08
33.3,298.83,200.2,184.57,184.57,152.34,2:04:12
33.3,297.85,200.2,184.57,184.57,152.34,2:04:16
33.3,297.85,200.2,184.57,184.57,152.34,2:04:20
33.4,297.85,200.2,184.57,184.57,152.34,2:04:24
33.4,297.85,200.2,184.57,184.57,153.32,2:04:28
33.4,298.83,201.17,184.57,184.57,153.32,2:04:32
33.4,298.83,201.17,184.57,184.57,153.32,2:04:37
33.3,297.85,201.17,184.57,184.57,153.32,2:04:41
33.4,297.85,201.17,184.57,184.57,153.32,2:04:45
33.4,298.83,201.17,184.57,184.57,153.32,2:04:49
33.4,298.83,201.17,184.57,184.57,153.32,2:04:53
33.4,298.83,201.17,184.57,184.57,153.32,2:04:57
33.5,298.83,201.17,184.57,184.57,153.32,2:05:01
33.5,298.83,201.17,184.57,184.57,153.32,2:05:05
33.5,297.85,201.17,184.57,184.57,153.32,2:05:09
33.5,297.85,201.17,184.57,184.57,152.34,2:05:13
33.4,297.85,200.2,183.59,184.57,153.32,2:05:17
33.4,297.85,200.2,183.59,183.59,153.32,2:05:21
33.4,297.85,200.2,183.59,183.59,152.34,2:05:25
33.4,297.85,200.2,183.59,183.59,152.34,2:05:29
33.4,297.85,200.2,183.59,183.59,153.32,2:05:33
33.4,297.85,200.2,183.59,183.59,153.32,2:05:37
33.4,297.85,200.2,183.59,183.59,153.32,2:05:41
33.4,297.85,201.17,183.59,184.57,153.32,2:05:46
33.4,297.85,201.17,183.59,183.59,153.32,2:05:50
33.5,297.85,201.17,183.59,184.57,153.32,2:05:54
33.5,297.85,201.17,183.59,184.57,153.32,2:05:58
33.4,298.83,201.17,183.59,184.57,153.32,2:06:02
33.4,298.83,201.17,183.59,184.57,153.32,2:06:06
33.4,297.85,200.2,183.59,183.59,153.32,2:06:10
33.4,297.85,200.2,183.59,183.59,153.32,2:06:14
33.4,297.85,200.2,183.59,183.59,152.34,2:06:18
33.4,297.85,200.2,182.62,183.59,153.32,2:06:22
33.4,297.85,200.2,183.59,183.59,152.34,2:06:26
33.4,297.85,200.2,183.59,183.59,152.34,2:06:30
33.4,297.85,200.2,182.62,183.59,153.32,2:06:34
33.4,297.85,200.2,183.59,183.59,153.32,2:06:38
33.4,297.85,200.2,182.62,183.59,152.34,2:06:42
33.4,297.85,200.2,182.62,183.59,153.32,2:06:46
33.4,297.85,200.2,182.62,183.59,152.34,2:06:50
33.4,297.85,200.2,182.62,183.59,153.32,2:06:54
33.4,297.85,200.2,182.62,183.59,152.34,2:06:59
33.4,296.88,200.2,182.62,182.62,153.32,2:07:03
33.4,296.88,200.2,182.62,182.62,153.32,2:07:07
33.4,296.88,200.2,182.62,182.62,153.32,2:07:11
33.4,296.88,200.2,182.62,182.62,152.34,2:07:15
33.4,296.88,200.2,182.62,182.62,152.34,2:07:19
33.4,297.85,200.2,182.62,182.62,152.34,2:07:23
33.5,297.85,200.2,182.62,182.62,153.32,2:07:27
33.5,297.85,201.17,182.62,182.62,153.32,2:07:31
33.5,297.85,200.2,182.62,182.62,153.32,2:07:35
33.5,297.85,201.17,182.62,182.62,153.32,2:07:39
33.5,297.85,200.2,182.62,182.62,153.32,2:07:43
33.5,297.85,200.2,182.62,182.62,153.32,2:07:47
33.5,297.85,200.2,182.62,182.62,153.32,2:07:51
33.5,297.85,200.2,182.62,182.62,153.32,2:07:55
33.5,297.85,200.2,182.62,182.62,152.34,2:07:59
33.5,297.85,201.17,182.62,182.62,153.32,2:08:03
33.5,297.85,200.2,182.62,182.62,153.32,2:08:07
33.5,297.85,201.17,182.62,182.62,153.32,2:08:12
33.59,298.83,201.17,183.59,182.62,153.32,2:08:16
